,ResponseID,SchoolRated,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q17_29,Q17_30
19,R_0iyHMtf8FxCtXrT,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
21,R_0JatgHUn1yjJ1B3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,R_0ktfzWVQmIaEPcN,4,4,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,5,4,5,5,5,5,5,5,5,4,4,5,5
25,R_0lBrGDfTbFIzNnD,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5
26,R_0MPO0D1FVK9kJ6J,1,3,4,4,4,4,5,4,4,5,4,5,4,5,3,5,5,4,4,4,5,5,4,4,5,5,5,3,4,3,5
27,R_0MPO0D1FVK9kJ6J,6,3,4,4,4,4,5,4,4,5,4,4,4,5,3,5,5,4,4,4,5,5,4,4,5,5,5,3,4,3,3
28,R_0SPxHAcwwVjxDrn,1,3,5,5,5,5,4,2,2,4,3,5,3,4,3,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5
30,R_0V7B2DQ95wl9qW9,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
31,R_0V7B2DQ95wl9qW9,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5
32,R_0vawxomTnDGoaR7,1,3,5,5,5,4,5,3,1,3,3,5,3,5,3,4,5,3,5,3,5,5,3,5,5,5,5,3,3,3,5
35,R_0VNnLVFhcrzPW6N,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
36,R_0xh2CrHlXqQzq2V,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
37,R_0xh2CrHlXqQzq2V,8,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
39,R_1B4DwB0MW3bvSzr,4,4,3,3,4,5,5,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,3,5,3,4,3,4
41,R_1HenqSB7tEWTvxz,4,4,3,3,4,3,4,4,3,4,4,5,2,4,4,2,3,4,4,3,4,5,4,3,3,5,3,4,5,4,5
42,R_1M7jkKpF8aY2Y1D,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,5,4,5,3,3,3,4
44,R_1SVWbJRCdWoolWB,4,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,3,4,4,4,4,4,4,3,5
46,R_1UqTgK63ZBKuWlT,1,1,5,5,4,4,5,5,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,4,4,5,5,4,4,4,4
47,R_1UqTgK63ZBKuWlT,6,4,4,4,3,3,4,4,3,3,4,4,3,3,3,4,5,4,2,4,3,4,3,3,3,4,5,3,4,3,3
48,R_1XHBBYrtnzWyydD,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50,R_1XIbomoLj64YGvX,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3
53,R_1Y2oe4I47nGW1iR,6,3,5,5,5,4,5,4,5,4,4,4,3,5,3,5,5,3,5,3,5,4,3,5,5,5,5,3,3,3,4
55,R_1ZAZ4LAnx6rbNOd,4,2,3,3,3,3,2,2,2,4,3,4,4,3,3,4,4,2,2,2,3,3,4,4,3,2,3,3,4,3,2
57,R_230eZ8Z8uGOgwVn,8,3,4,4,5,4,4,4,4,4,4,4,3,5,3,5,5,4,3,3,5,3,4,5,4,4,5,3,4,4,1
59,R_26ahAglpHKsdmxn,4,4,4,3,4,3,4,4,4,3,3,3,4,4,3,3,4,4,3,4,3,4,3,4,4,3,5,4,3,3,4
60,R_2ajv8brG4qHBdZ3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
61,R_2ajv8brG4qHBdZ3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63,R_2hpZiDpYkGsK80l,4,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
66,R_2nqYmu01KU0Yzzv,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
67,R_2nqYmu01KU0Yzzv,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
69,R_2o64Amhda0MT3kp,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
70,R_2oe0sarjI7UeUYJ,1,1,5,4,4,4,3,3,2,3,3,4,4,4,4,4,5,5,4,5,5,5,4,5,5,5,5,5,5,2,5
73,R_2tA5CEjsAiBDzAF,4,4,4,5,5,4,3,5,4,4,5,5,4,5,4,4,5,5,5,5,5,5,4,5,4,5,4,5,5,5,4
74,R_3943OBN9uq4RdA1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,R_3943OBN9uq4RdA1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
76,R_3DGv2wx3F8YZhCR,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
77,R_3DGv2wx3F8YZhCR,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
78,R_3dTt6ykXbwlmn8p,1,2,1,3,3,3,4,3,4,2,3,3,3,4,2,3,4,4,3,3,5,4,4,1,3,3,2,3,2,4,2
80,R_3DxwdlKYdtLVzwN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
81,R_3DxwdlKYdtLVzwN,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
82,R_3eJb5sDIwCRD7Zb,8,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
83,R_3eJb5sDIwCRD7Zb,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
85,R_3gd0UT3vzCPrZqJ,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
86,R_3kM2MN0hbPX4WVv,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
90,R_3Q1Xb19U75lVYUt,4,5,5,4,4,3,4,3,5,4,3,3,5,3,3,4,4,5,4,5,5,4,4,4,4,4,4,3,3,4,4
91,R_3Q1Xb19U75lVYUt,8,2,5,5,2,4,2,3,3,4,3,4,3,3,3,4,5,5,3,4,5,4,3,4,4,4,5,3,3,4,2
92,R_3rthwoq4sPIKYL3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4
95,R_3rXJLk6UyG7tIbz,8,3,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,3,5,5,3,4,5,5,5,1,4,4,5
96,R_3sDnUiNLmpuIbIh,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
98,R_3sfiVK4QKz9ZRDT,8,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101,R_3U8rzfFSvwf7oCV,6,5,2,4,4,3,5,3,3,4,3,3,2,3,3,4,4,4,4,5,3,4,4,4,4,4,3,2,4,4,3
103,R_3VjfaVanqICJQoJ,6,3,3,3,3,3,5,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3
105,R_3w7V3eDbQqIh5Mp,8,3,5,5,4,4,5,2,4,4,4,5,3,4,4,5,5,4,5,5,4,5,4,5,3,5,5,3,4,4,4
106,R_3wo6DZHyQRarJPf,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4
108,R_3wyftSSkXfspddj,1,3,5,5,4,4,3,3,5,5,5,4,3,5,3,3,3,5,5,3,5,5,3,3,5,5,5,3,5,3,5
109,R_3wyftSSkXfspddj,8,3,5,5,5,5,3,3,5,5,5,5,3,5,3,3,3,5,5,3,5,5,3,3,5,5,5,3,5,3,5
110,R_3yFZ53mtVYZ4rsx,4,3,3,3,3,3,5,4,5,5,5,4,5,5,3,5,3,3,3,3,3,5,4,5,5,5,5,2,5,3,5
112,R_3yrD4zL66NKZv5X,4,4,5,5,5,5,5,3,4,3,5,5,3,4,3,4,4,5,5,5,5,5,4,5,5,5,5,3,4,5,5
114,R_4246ez95ry21qMB,4,5,5,5,5,5,5,3,5,5,5,5,5,3,3,5,5,5,3,5,5,5,3,3,5,5,5,3,3,3,4
116,R_42hxdnOCpNTdPud,8,4,5,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,5,5,4,5,4,5
118,R_4GCstsDTWcdfntb,1,1,5,5,5,5,3,4,3,4,5,5,5,4,4,5,5,4,5,4,4,5,3,5,4,5,5,3,4,3,5
119,R_4GCstsDTWcdfntb,6,3,5,4,4,5,5,4,3,4,5,4,4,4,4,4,4,4,4,4,4,5,3,5,4,5,5,3,4,3,4
120,R_4HoRidJ1YoBiF5H,4,2,4,4,4,5,4,2,5,3,4,3,4,4,4,3,4,5,5,3,5,4,4,4,5,4,4,3,4,4,3
121,R_4HoRidJ1YoBiF5H,1,5,4,5,4,4,4,5,5,5,3,5,4,5,3,4,5,4,4,2,3,5,4,5,5,5,5,5,5,4,5
122,R_4Jgw3VMd03O9Gf3,1,3,3,5,5,5,3,3,5,5,5,5,3,3,3,5,5,5,5,5,5,5,3,5,3,5,5,3,3,3,5
123,R_4Jgw3VMd03O9Gf3,8,3,3,5,5,5,3,3,5,5,5,5,3,3,3,5,5,5,5,5,5,5,3,5,3,5,5,3,3,3,5
124,R_4NqKURjkYNhYBnf,4,5,4,5,4,4,5,2,5,2,3,4,4,4,2,3,3,4,4,3,4,4,4,3,3,4,4,2,4,4,2
126,R_4Og5zCnV9OHD7BX,4,4,4,4,4,4,5,3,4,4,3,3,5,4,3,4,4,4,4,5,4,5,3,5,4,4,5,3,3,2,4
129,R_4T8B6OYnuHb42JD,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
130,R_4YCuVyVf9wTW9A9,4,4,3,3,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,3
134,R_50WR59Vg5FXnBeR,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,2
136,R_50y98rgxtaJUr5j,4,4,4,4,4,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4,3,3,4,3
137,R_50y98rgxtaJUr5j,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,4,3
138,R_51oVnvuz3wGv0GN,6,5,4,4,4,3,5,3,4,3,4,4,2,4,3,3,4,4,3,3,3,5,3,4,4,4,5,4,4,3,3
139,R_51oVnvuz3wGv0GN,8,3,4,5,4,4,5,3,4,4,4,3,2,4,3,5,3,4,4,4,4,5,3,5,5,4,5,3,4,3,3
140,R_55uaHLjCksciihL,1,3,4,4,5,4,3,4,2,5,3,3,3,3,3,4,3,3,5,3,5,5,5,5,5,5,5,3,4,4,4
141,R_55uaHLjCksciihL,8,3,4,4,5,4,3,4,2,5,4,3,4,4,3,4,3,3,5,3,5,5,5,5,5,5,5,3,4,4,4
142,R_56BoTxEBwR4SdYp,6,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,4,4,4,5,5,1,1,2,1,2,5,4,5,4,4
145,R_56m22khqgOnYpLL,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
147,R_5cgp1ppHuKNNf9j,4,5,5,4,4,3,5,3,5,3,3,3,5,4,4,4,2,5,2,5,4,5,2,4,3,4,5,2,2,2,1
148,R_5dln1MzT77YlLgN,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
149,R_5dln1MzT77YlLgN,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
153,R_5iNGUbegzeYgUSh,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4
156,R_5jOlorMIdG4L2Lj,1,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
157,R_5jOlorMIdG4L2Lj,4,4,5,5,5,5,4,4,4,4,4,5,4,4,4,5,5,4,5,4,5,5,4,5,5,5,5,4,5,5,4
158,R_5uQCJD1RpMDeW2x,6,2,5,5,5,4,5,3,4,4,3,4,3,5,3,4,4,4,5,4,3,4,3,4,4,5,5,4,3,3,4
159,R_5uQCJD1RpMDeW2x,8,2,5,5,5,4,4,3,4,4,3,4,3,4,3,4,4,5,5,4,3,5,3,5,4,5,5,4,3,3,4
160,R_6DagOUe3CQ8ywQZ,4,3,3,4,4,4,3,2,2,3,4,4,4,3,3,3,3,4,3,4,4,3,2,3,4,3,3,3,4,3,4
162,R_6DTCkjKOrGKCuDH,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
168,R_6hTZDFpMl6UGfqd,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
169,R_6hTZDFpMl6UGfqd,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170,R_6iqlCynI00aUe8Z,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
171,R_6iqlCynI00aUe8Z,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
172,R_6iqmkfN6fNlCj0V,4,5,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,4,3,4,3,3
173,R_6iqmkfN6fNlCj0V,8,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
174,R_6JAKrdubsJwuNU1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
175,R_6JAKrdubsJwuNU1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
179,R_6lrKIiu2qpDYKzz,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
181,R_6LuiKGAQnuQ0pnf,8,3,3,3,3,3,3,4,2,4,5,3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,2,3,2,3,4
182,R_6m7BDo6XYPl9gbP,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
184,R_6mxaamyydtWyvU9,6,3,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,2,5,3,4,5,3,4,4,4,4,3,4,3,3
185,R_6mxaamyydtWyvU9,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,4,5,3,4,5,3,4,4,4,4,3,4,3,3
186,R_6mxUEPhXIgZb7Kd,1,1,5,5,5,5,5,5,1,5,5,5,5,5,3,5,5,2,5,5,5,5,3,5,5,5,5,5,5,3,5
187,R_6mxUEPhXIgZb7Kd,8,1,5,5,5,5,4,5,1,5,5,5,5,5,3,5,5,3,5,5,5,5,4,5,5,5,5,5,5,3,5
188,R_6naAKM07SvK7lK5,1,1,5,5,4,5,3,3,3,3,3,4,3,4,3,3,5,3,3,5,4,5,3,5,3,5,5,2,3,3,4
189,R_6naAKM07SvK7lK5,4,5,4,4,3,5,4,3,5,3,3,3,5,3,3,3,3,3,3,4,4,4,4,3,4,3,4,2,3,3,4
190,R_6Pc7qUl6eRftKjb,4,3,3,3,3,3,5,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
192,R_6rGgDYS4a02hkZn,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3
194,R_6WH7ygRcUaT29Nz,4,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,4,4,4,4,3,4,3,4,3,4,4,3,4,3,3
196,R_6XMNixDu8pkxR1r,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5
197,R_6XMNixDu8pkxR1r,8,2,5,5,5,5,2,5,2,5,4,4,2,5,5,5,3,4,4,3,5,5,4,4,5,5,5,5,5,3,3
198,R_6zMc368y6U7hYot,4,5,4,5,5,4,5,4,5,5,5,4,5,5,3,4,4,4,4,5,5,5,5,5,5,5,5,4,5,2,4
203,R_72vcUxCJE1aOZbT,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
206,R_73P9Sb7XzamzIq1,6,5,5,5,5,5,5,5,3,5,5,4,3,4,3,5,4,4,4,4,4,5,4,5,5,5,5,3,4,4,5
207,R_73P9Sb7XzamzIq1,4,4,4,4,4,3,4,3,5,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,3
209,R_7PUusCdyMjelNaZ,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
210,R_801f2CnoYSqid37,4,1,4,4,4,4,2,4,3,3,4,2,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,2,2
215,R_85EZvw0ENRmRtLn,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,3,3,5,4,5,4,4,4,4
216,R_86Qtc0M3k7UifD7,1,3,5,5,4,5,5,4,5,5,5,5,5,5,3,4,5,4,4,4,5,5,5,4,5,5,5,5,5,3,4
218,R_86TzRRthpyi4C0J,1,4,5,5,4,3,3,3,4,4,4,5,3,4,4,4,5,4,4,4,4,5,4,4,4,5,5,3,4,3,5
219,R_86TzRRthpyi4C0J,4,5,4,5,4,5,4,3,5,4,4,4,5,4,4,4,4,4,4,5,4,5,4,4,4,5,5,3,4,3,4
221,R_86yG1KX6ZIV1HKJ,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
222,R_88GP2O1AgHbfrx3,8,3,5,5,4,3,3,4,4,4,4,5,3,4,3,4,5,3,4,4,3,5,3,5,5,5,5,3,4,3,5
225,R_8f7XjJOfaRkKF5X,1,4,4,5,5,3,2,3,3,5,5,5,4,5,3,5,5,3,3,3,5,5,3,3,5,5,5,3,3,3,5
227,R_8H6gjLr99vda8El,4,3,4,3,3,3,5,5,5,5,5,4,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,4,5
231,R_8rhJyvlwRQuS7WJ,4,4,3,3,2,4,2,3,2,3,3,4,2,3,4,3,5,4,2,3,3,5,3,4,3,4,4,3,4,3,2
232,R_8uAKs1legADboCp,4,3,3,4,3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,2
233,R_8uAKs1legADboCp,6,3,2,5,4,2,3,3,3,5,3,3,4,4,4,4,4,4,5,3,4,4,4,4,3,4,4,4,4,4,3
234,R_8uBYjDCBdt7a6c5,8,3,5,5,4,5,5,5,3,5,5,5,4,4,3,5,4,4,4,3,5,5,5,4,5,5,5,5,5,3,5
236,R_8vw8lsAnliVqqDH,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
238,R_8wUuLaeHFcOqsGp,1,4,5,4,5,4,4,4,3,5,5,4,3,4,3,5,5,3,5,4,5,5,4,4,4,5,5,4,3,3,4
239,R_8wUuLaeHFcOqsGp,4,4,5,4,5,4,4,3,4,5,5,4,4,4,3,4,4,3,5,4,5,5,4,4,4,5,5,4,3,3,4
241,R_8xjsRTVoMYOPAzP,4,5,5,5,5,4,4,3,5,5,3,4,4,4,3,5,4,4,5,5,4,4,3,4,5,4,5,3,3,3,4
242,R_9FvbXxMhzvoNwH3,8,3,5,5,4,4,3,3,2,4,5,5,3,4,4,5,4,5,5,4,5,5,5,5,5,5,5,3,4,4,5
243,R_9FvbXxMhzvoNwH3,1,3,5,5,4,4,2,3,2,4,5,5,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5
246,R_9MNwpTKNCbvFzuJ,4,5,5,5,5,4,5,5,5,4,5,5,4,4,3,4,4,5,5,4,5,5,3,5,4,5,5,3,4,4,5
248,R_9N7afeUpmSmQgFn,4,3,5,4,4,4,3,4,4,5,4,5,4,5,3,5,5,4,5,5,3,4,5,4,5,5,3,3,3,4,5
250,R_9npPwJUvDsoQ4aF,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
251,R_9npPwJUvDsoQ4aF,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
253,R_9NXSb5056mXdDpj,1,5,5,5,5,5,4,5,5,4,4,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,2,5,4,4
255,R_9po8aP2t0PV1lhH,4,2,3,2,3,2,3,2,1,2,2,3,2,2,1,3,3,3,2,2,1,2,2,2,2,2,3,4,3,4,2
257,R_9SwzELDHaU3DWXr,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4
258,R_9ueU0uas9qUqTrL,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
259,R_9ueU0uas9qUqTrL,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
261,R_9vGeGSuEuBBWnTT,4,4,5,5,4,4,5,3,4,4,4,4,5,4,3,4,3,4,4,4,5,4,4,5,5,4,5,4,5,4,4
264,R_9ZG4OnzkSVSoAfj,8,3,5,4,3,5,5,3,4,4,5,4,4,5,3,5,5,3,4,4,3,5,3,5,4,5,5,2,3,2,5
266,R_9zqtIqjHuo4TFpb,8,3,5,5,5,5,4,3,3,5,5,4,5,4,3,5,5,5,5,4,4,5,3,4,5,5,5,3,5,3,5
269,R_9ztC1w3uFudrIcR,8,3,5,5,5,5,5,4,5,5,5,5,3,5,3,5,3,4,5,4,5,5,3,5,5,5,5,3,3,3,4
271,R_a2Jq0cDHVkiaBvv,4,3,4,5,4,4,4,4,5,4,4,5,2,5,5,5,4,3,3,3,4,4,5,5,4,5,5,5,5,5,5
274,R_a3IZdtEwcLa3S3b,1,4,5,5,3,3,5,4,3,4,5,3,3,5,3,4,5,3,3,3,5,5,3,3,4,5,4,4,4,3,5
279,R_a9SvaBIhC4gPzZb,8,2,5,5,5,5,2,4,2,5,5,5,2,4,3,5,5,4,4,5,5,5,3,5,5,5,5,2,5,3,5
283,R_aeKwKEiuvV0BYk5,8,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3
286,R_aV4hVWj7hinBdOJ,8,3,4,5,4,5,4,4,4,3,4,4,4,4,2,5,5,4,3,4,5,5,3,5,4,3,5,4,4,3,5
288,R_aXygpRP99K6RVjf,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
289,R_aXygpRP99K6RVjf,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
